iter	Passed	Remaining
0	142	141955
1	142	71273
2	143	47677
3	144	35891
4	144	28823
5	145	24098
6	146	20719
7	146	18193
8	147	16215
9	147	14633
10	148	13341
11	148	12263
12	149	11356
13	150	10577
14	150	9899
15	151	9310
16	151	8784
17	152	8318
18	153	7902
19	153	7535
20	154	7197
21	155	6894
22	155	6613
23	156	6355
24	156	6119
25	157	5901
26	158	5697
27	158	5510
28	159	5335
29	159	5172
30	160	5021
31	161	4877
32	161	4742
33	162	4614
34	163	4495
35	163	4381
36	164	4276
37	164	4176
38	165	4080
39	166	3989
40	166	3902
41	167	3820
42	168	3741
43	168	3667
44	169	3595
45	170	3526
46	170	3461
47	171	3398
48	171	3337
49	172	3279
50	173	3223
51	173	3169
52	174	3116
53	175	3066
54	175	3018
55	176	2971
56	176	2926
57	177	2882
58	178	2840
59	178	2800
60	179	2761
61	179	2722
62	180	2686
63	181	2650
64	181	2617
65	182	2585
66	183	2556
67	183	2520
68	184	2489
69	185	2459
70	185	2430
71	186	2401
72	186	2374
73	187	2347
74	188	2321
75	188	2295
76	189	2270
77	190	2246
78	190	2221
79	191	2198
80	191	2175
81	192	2153
82	192	2131
83	193	2110
84	193	2087
85	194	2068
86	194	2046
87	195	2027
88	196	2009
89	197	1992
90	197	1974
91	198	1957
92	199	1940
93	199	1924
94	200	1907
95	200	1890
96	201	1875
97	201	1859
98	202	1843
99	203	1829
100	203	1814
101	204	1797
102	204	1783
103	205	1769
104	205	1755
105	206	1743
106	207	1729
107	207	1717
108	208	1704
109	209	1693
110	209	1680
111	210	1669
112	211	1657
113	211	1645
114	212	1633
115	212	1621
116	213	1611
117	214	1600
118	214	1588
119	215	1578
120	215	1568
121	216	1559
122	216	1546
123	217	1538
124	218	1529
125	219	1521
126	220	1513
127	220	1502
128	221	1493
129	221	1483
130	222	1474
131	222	1466
132	223	1457
133	224	1449
134	225	1441
135	225	1433
136	226	1425
137	226	1415
138	227	1407
139	227	1400
140	228	1393
141	229	1385
142	229	1377
143	230	1370
144	231	1363
145	231	1355
146	232	1349
147	233	1341
148	233	1335
149	234	1328
150	235	1321
151	235	1314
152	236	1308
153	236	1301
154	237	1294
155	238	1288
156	238	1281
157	239	1277
158	240	1271
159	240	1265
160	241	1258
161	242	1252
162	242	1246
163	243	1241
164	244	1235
165	244	1229
166	245	1223
167	245	1218
168	246	1212
169	247	1206
170	247	1200
171	248	1194
172	248	1189
173	249	1183
174	249	1178
175	250	1173
176	251	1167
177	251	1162
178	252	1157
179	253	1153
180	253	1147
181	254	1142
182	254	1137
183	255	1132
184	256	1128
185	256	1123
186	257	1118
187	257	1113
188	258	1110
189	259	1106
190	260	1101
191	260	1096
192	261	1092
193	261	1088
194	262	1083
195	263	1079
196	263	1074
197	264	1070
198	264	1066
199	265	1061
200	266	1057
201	266	1053
202	267	1049
203	267	1045
204	268	1041
205	269	1038
206	270	1035
207	271	1032
208	271	1028
209	272	1025
210	273	1023
211	274	1019
212	275	1016
213	275	1012
214	276	1008
215	276	1005
216	277	1001
217	278	997
218	278	994
219	279	990
220	279	986
221	280	982
222	281	979
223	281	975
224	282	972
225	282	968
226	283	964
227	284	962
228	284	958
229	285	955
230	285	951
231	286	948
232	287	944
233	287	941
234	288	938
235	288	935
236	289	932
237	290	928
238	290	925
239	291	922
240	291	919
241	292	916
242	293	913
243	293	910
244	294	907
245	295	904
246	295	901
247	296	898
248	296	895
249	297	892
250	298	889
251	298	886
252	299	883
253	299	881
254	300	878
255	301	875
256	301	872
257	302	870
258	303	867
259	303	864
260	304	862
261	305	859
262	305	856
263	306	854
264	306	851
265	307	848
266	308	846
267	309	844
268	309	841
269	310	839
270	311	836
271	311	834
272	312	831
273	312	829
274	313	826
275	314	824
276	314	821
277	315	819
278	316	816
279	316	814
280	317	812
281	318	809
282	318	807
283	319	804
284	319	802
285	320	799
286	320	797
287	321	794
288	322	792
289	322	789
290	323	787
291	324	786
292	325	785
293	326	782
294	326	780
295	327	778
296	327	775
297	328	773
298	328	771
299	329	768
300	329	766
301	330	764
302	331	761
303	331	759
304	332	757
305	333	755
306	333	753
307	334	751
308	335	749
309	335	747
310	336	745
311	337	743
312	337	741
313	338	738
314	338	736
315	339	734
316	340	732
317	340	730
318	341	728
319	341	726
320	342	724
321	343	722
322	343	720
323	344	718
324	345	716
325	345	714
326	346	712
327	346	710
328	347	708
329	348	707
330	349	705
331	349	703
332	350	701
333	351	699
334	351	698
335	352	696
336	353	695
337	354	693
338	354	691
339	355	690
340	356	688
341	357	686
342	357	685
343	358	683
344	359	682
345	360	680
346	360	679
347	363	680
348	364	679
349	365	678
350	365	676
351	366	674
352	367	672
353	367	670
354	368	669
355	368	667
356	369	665
357	370	663
358	370	662
359	371	660
360	372	658
361	372	656
362	373	655
363	374	653
364	374	651
365	375	650
366	375	648
367	376	646
368	377	645
369	378	643
370	378	642
371	379	640
372	380	638
373	380	637
374	381	635
375	382	633
376	382	632
377	383	630
378	383	628
379	384	627
380	385	625
381	385	623
382	386	622
383	386	620
384	387	619
385	388	617
386	388	615
387	389	614
388	390	612
389	390	611
390	391	609
391	391	607
392	392	606
393	393	604
394	393	603
395	394	601
396	395	600
397	395	598
398	396	597
399	397	595
400	397	593
401	398	592
402	398	590
403	399	589
404	400	587
405	400	586
406	401	584
407	402	583
408	402	581
409	403	580
410	404	579
411	404	577
412	405	576
413	406	574
414	406	573
415	407	572
416	408	570
417	408	569
418	409	568
419	410	566
420	410	565
421	411	563
422	412	562
423	412	560
424	413	559
425	414	557
426	414	556
427	415	555
428	415	553
429	416	552
430	417	550
431	417	549
432	418	547
433	418	546
434	419	544
435	420	543
436	420	542
437	421	540
438	421	539
439	422	538
440	423	537
441	424	535
442	425	534
443	426	533
444	426	532
445	427	530
446	428	529
447	428	528
448	429	526
449	430	525
450	430	524
451	431	523
452	432	521
453	433	520
454	435	521
455	436	520
456	436	519
457	437	517
458	438	516
459	439	515
460	439	514
461	440	512
462	441	511
463	441	510
464	442	509
465	443	508
466	444	506
467	444	505
468	445	504
469	446	503
470	446	501
471	447	500
472	448	499
473	449	498
474	450	497
475	450	496
476	451	494
477	451	493
