iter	Passed	Remaining
0	0	931
1	1	753
2	2	696
3	2	668
4	3	646
5	3	623
6	4	607
7	4	598
8	5	587
9	5	580
10	6	573
11	6	566
12	7	561
13	7	556
14	8	554
15	8	550
16	9	547
17	10	545
18	10	542
19	11	539
20	11	539
21	12	537
22	12	537
23	13	534
24	13	532
25	14	531
26	14	529
27	15	528
28	15	526
29	16	526
30	16	525
31	17	524
32	17	523
33	18	523
34	18	522
35	19	523
36	20	523
37	20	524
38	21	524
39	21	523
40	22	522
41	22	522
42	23	522
43	24	522
44	24	521
45	25	520
46	25	523
47	26	524
48	27	524
49	27	525
50	28	525
51	28	524
52	29	523
53	29	522
54	30	521
55	30	520
56	31	519
57	31	518
58	32	517
59	32	516
60	33	515
61	33	513
62	34	513
63	35	512
64	35	512
65	36	512
66	36	511
67	37	510
68	37	509
69	38	507
70	38	506
71	39	505
72	39	505
73	40	504
74	40	505
75	41	504
76	42	503
77	42	502
78	43	501
79	43	501
80	44	500
81	44	500
82	44	496
83	45	495
84	46	495
85	46	494
86	47	494
87	47	494
88	48	493
89	48	493
90	49	492
91	49	491
92	50	490
93	50	490
94	51	489
95	51	488
96	52	488
97	52	487
98	53	487
99	54	486
100	54	486
101	55	485
102	55	485
103	56	485
104	56	484
105	57	483
106	57	483
107	58	482
108	58	481
109	59	481
110	60	480
111	60	479
112	61	479
113	61	478
114	62	478
115	62	478
116	63	477
117	63	476
118	64	475
119	64	475
120	65	475
121	65	473
122	66	474
123	67	474
124	67	475
125	68	476
126	69	475
127	69	474
128	70	473
129	70	472
130	71	471
131	71	470
132	72	469
133	72	468
134	72	467
135	73	466
136	73	465
137	74	464
138	74	463
139	75	462
140	75	461
141	76	459
142	76	458
143	76	457
144	77	456
145	77	455
146	78	454
147	78	453
148	79	452
149	79	451
150	80	451
151	80	450
152	81	453
153	82	452
154	83	453
155	83	453
156	84	453
157	84	452
158	85	454
159	86	454
160	86	453
161	87	454
162	88	454
163	89	455
164	90	455
165	90	455
166	91	455
167	92	457
168	93	459
169	94	462
170	95	461
171	95	460
172	96	459
173	96	458
174	97	457
175	97	457
176	98	456
177	98	455
178	99	455
179	100	456
180	100	456
181	101	455
182	101	454
183	102	454
184	102	453
185	103	452
186	103	452
187	104	451
188	104	450
189	105	450
190	106	449
191	106	448
192	107	447
193	107	447
194	108	446
195	108	445
196	109	444
197	109	443
198	110	442
199	110	443
200	111	442
201	111	441
202	112	441
203	112	440
204	113	439
205	113	438
206	114	438
207	115	438
208	115	437
209	116	436
210	116	435
211	117	436
212	117	435
213	118	434
214	118	433
215	119	433
216	119	432
217	120	431
218	120	430
219	121	429
220	121	428
221	122	428
222	122	427
223	123	426
224	124	427
225	124	426
226	125	426
227	125	425
228	126	424
229	126	423
230	126	422
231	127	421
232	127	421
233	128	420
234	128	419
235	129	418
236	130	419
237	130	418
238	131	418
239	132	418
240	132	418
241	133	418
242	133	417
243	134	416
244	134	415
245	135	414
246	135	414
247	136	413
248	136	413
249	137	412
250	137	411
251	138	410
252	138	409
253	139	409
254	139	408
255	140	407
256	140	406
257	141	406
